prefecture,city,asset_type,trend,price_change_yoy,rental_demand,vacancy_rate,comment
東京都,新宿区,APARTMENT_WHOLE,上昇,0.09,高,0.03,新宿区は都心アクセス最強。RC一棟マンション需要旺盛で利回り圧縮続く。2024年も価格上昇トレンド継続中。
東京都,新宿区,UNIT,上昇,0.07,高,0.04,区分マンションは実需・投資双方から需要。外国人富裕層の購入も増加傾向。
東京都,新宿区,OFFICE,上昇,0.05,高,0.06,西新宿エリアの大規模再開発で需要拡大。空室率は低水準を維持。
東京都,渋谷区,APARTMENT_WHOLE,上昇,0.12,高,0.02,渋谷再開発の恩恵を受け価格上昇が顕著。一棟マンション取引単価は都内最高水準。
東京都,渋谷区,UNIT,上昇,0.10,高,0.03,代官山・恵比寿周辺の高級区分マンション需要は外国人投資家にも人気。
東京都,渋谷区,COMMERCIAL,上昇,0.08,高,0.04,渋谷スクランブルスクエア周辺の商業地は賃料・価格ともに上昇基調。
東京都,港区,APARTMENT_WHOLE,上昇,0.13,高,0.02,港区は国内最高値水準を更新。湾岸エリアと内陸エリアで温度差あり。
東京都,港区,UNIT,上昇,0.11,高,0.02,高級タワーマンション需要が旺盛。外国人購入比率が上昇。
東京都,港区,OFFICE,上昇,0.06,高,0.05,港南・芝浦エリアのオフィス需要回復。大型テナントの移転需要あり。
東京都,千代田区,OFFICE,上昇,0.07,高,0.05,丸の内・大手町の大型オフィスは満室近い。中小ビルは一部空室あり。
東京都,千代田区,UNIT,上昇,0.09,高,0.03,番町・麹町エリアの高級住宅需要は堅調。希少性高く価格維持。
東京都,千代田区,APARTMENT_WHOLE,上昇,0.08,高,0.03,都心一棟ビル・マンションは流通量極めて少なく高値取引続く。
東京都,中央区,APARTMENT_WHOLE,上昇,0.10,高,0.03,月島・勝どきのタワーマンション需要で賃料・価格ともに上昇。
東京都,中央区,UNIT,上昇,0.08,高,0.04,日本橋エリアの再開発で周辺区分マンション価値上昇。
東京都,中央区,COMMERCIAL,上昇,0.06,高,0.05,銀座の商業地は高値維持。訪日外国人回復で路面店需要旺盛。
東京都,江東区,APARTMENT_WHOLE,上昇,0.08,高,0.04,湾岸エリアのタワーマンション需要継続。人口流入で賃貸需要も高い。
東京都,江東区,UNIT,上昇,0.07,高,0.05,豊洲・東雲・辰巳エリアの区分マンション価格は上昇トレンド。
東京都,江東区,FACTORY,横ばい,0.01,中,0.08,物流・倉庫需要は堅調だが工場転用用地は横ばい。
東京都,世田谷区,APARTMENT_WHOLE,上昇,0.07,高,0.04,住環境の良さから長期居住需要が高い。賃貸アパート空室率は低水準。
東京都,世田谷区,APARTMENT_WOOD,上昇,0.05,高,0.05,木造アパートの需要も堅調。三軒茶屋・下北沢周辺は若者需要旺盛。
東京都,世田谷区,HOUSE,上昇,0.08,高,0.03,一戸建て需要は根強い。用賀・砧周辺の高級住宅地は価格上昇継続。
東京都,杉並区,APARTMENT_WHOLE,上昇,0.06,高,0.05,阿佐ヶ谷・高円寺など人気エリアの賃貸需要は安定的に高い。
東京都,杉並区,APARTMENT_WOOD,上昇,0.04,高,0.06,木造アパートは築年数問わず需要あり。中央線沿線の人気継続。
東京都,杉並区,HOUSE,上昇,0.06,高,0.04,荻窪・西荻窪エリアの戸建て需要は子育て世帯中心に堅調。
東京都,大田区,APARTMENT_WHOLE,上昇,0.06,高,0.05,蒲田・大森エリアの一棟マンション需要は安定。羽田空港近接で外国人需要も増加。
東京都,大田区,FACTORY,上昇,0.03,中,0.06,大田区の町工場・倉庫需要は底堅い。物流施設への転用需要あり。
東京都,大田区,APARTMENT_WOOD,横ばい,0.02,中,0.07,木造アパートは築古物件の空室リスクに注意が必要。
東京都,品川区,APARTMENT_WHOLE,上昇,0.08,高,0.04,品川駅周辺の再開発で周辺エリアも上昇。大崎・五反田エリアは価値上昇中。
東京都,品川区,OFFICE,上昇,0.06,高,0.06,品川駅周辺の大型オフィスビルは好立地で稼働率高い。
東京都,目黒区,APARTMENT_WHOLE,上昇,0.09,高,0.03,中目黒・学芸大学エリアは賃料水準高く一棟マンション需要旺盛。
東京都,目黒区,UNIT,上昇,0.08,高,0.04,高級住宅地としての価値が定着。価格上昇トレンド継続見込み。
東京都,文京区,APARTMENT_WHOLE,上昇,0.07,高,0.04,学生・単身者向け賃貸需要が安定。小石川・本郷周辺は価格上昇。
東京都,豊島区,APARTMENT_WHOLE,上昇,0.06,高,0.05,池袋エリアの再開発効果で周辺の一棟マンション需要拡大中。
東京都,豊島区,UNIT,上昇,0.05,高,0.05,池袋駅徒歩圏の区分マンションは投資・実需双方から需要。
東京都,荒川区,APARTMENT_WHOLE,横ばい,0.03,中,0.07,日暮里・三河島エリアは価格安定。再開発期待で一部上昇の動き。
東京都,荒川区,APARTMENT_WOOD,横ばい,0.02,中,0.08,木造アパートは築古物件中心に空室率がやや高い。
東京都,葛飾区,APARTMENT_WHOLE,横ばい,0.02,中,0.08,城東エリアの価格は横ばい。賃料水準は安定しているが大幅上昇は見込めない。
東京都,江戸川区,APARTMENT_WHOLE,横ばい,0.02,中,0.08,郊外立地で価格上昇幅は都心より小さい。賃貸需要は安定的。
東京都,足立区,APARTMENT_WHOLE,横ばい,0.03,中,0.09,北千住周辺は再開発効果で上昇傾向だが全体は横ばい。
東京都,練馬区,APARTMENT_WHOLE,横ばい,0.02,中,0.08,住宅地としての需要は安定しているが価格上昇は限定的。
東京都,板橋区,APARTMENT_WHOLE,横ばい,0.02,中,0.08,価格は横ばい圏。東武東上線沿線の賃貸需要は安定。
神奈川県,横浜市,APARTMENT_WHOLE,上昇,0.06,高,0.05,みなとみらい・関内エリアの再開発で周辺一棟マンション需要増加。
神奈川県,横浜市,UNIT,上昇,0.05,高,0.05,横浜駅周辺・みなとみらいの区分マンション価格は上昇基調。
