prefecture,city,area,zone_type,rosenka_per_sqm,land_price_per_sqm,year
東京都,千代田区,丸の内・大手町,商業地域,14000000,17500000,2024
東京都,千代田区,有楽町・日比谷,商業地域,9500000,11875000,2024
東京都,千代田区,神田・秋葉原,商業地域,4200000,5250000,2024
東京都,千代田区,千代田区住宅,住宅地域,2100000,2625000,2024
東京都,中央区,銀座,商業地域,12000000,15000000,2024
東京都,中央区,日本橋,商業地域,5500000,6875000,2024
東京都,中央区,八丁堀・新富町,商業地域,2800000,3500000,2024
東京都,中央区,中央区住宅,住宅地域,1500000,1875000,2024
東京都,港区,赤坂・六本木,商業地域,6800000,8500000,2024
東京都,港区,虎ノ門・新橋,商業地域,5200000,6500000,2024
東京都,港区,麻布・白金,近隣商業地域,3800000,4750000,2024
東京都,港区,港区住宅,住宅地域,1200000,1500000,2024
東京都,新宿区,新宿駅周辺,商業地域,5500000,6875000,2024
東京都,新宿区,西新宿副都心,商業地域,4800000,6000000,2024
東京都,新宿区,高田馬場・早稲田,近隣商業地域,1200000,1500000,2024
東京都,新宿区,新宿区住宅,住宅地域,980000,1225000,2024
東京都,渋谷区,渋谷駅周辺,商業地域,4200000,5250000,2024
東京都,渋谷区,表参道・原宿,商業地域,3500000,4375000,2024
東京都,渋谷区,代官山・恵比寿,近隣商業地域,2200000,2750000,2024
東京都,渋谷区,渋谷区住宅,住宅地域,850000,1062500,2024
東京都,豊島区,池袋駅周辺,商業地域,3200000,4000000,2024
東京都,豊島区,目白・雑司が谷,近隣商業地域,780000,975000,2024
東京都,豊島区,豊島区住宅,住宅地域,650000,812500,2024
東京都,品川区,品川駅周辺,商業地域,2800000,3500000,2024
東京都,品川区,目黒・大崎,近隣商業地域,1200000,1500000,2024
東京都,品川区,品川区住宅,住宅地域,580000,725000,2024
東京都,目黒区,中目黒・自由が丘,近隣商業地域,1600000,2000000,2024
東京都,目黒区,目黒区住宅,住宅地域,750000,937500,2024
東京都,世田谷区,三軒茶屋・下北沢,近隣商業地域,980000,1225000,2024
東京都,世田谷区,二子玉川,近隣商業地域,850000,1062500,2024
東京都,世田谷区,世田谷区住宅,住宅地域,520000,650000,2024
東京都,杉並区,荻窪・西荻窪,近隣商業地域,780000,975000,2024
東京都,杉並区,杉並区住宅,住宅地域,480000,600000,2024
東京都,大田区,蒲田駅周辺,商業地域,760000,950000,2024
東京都,大田区,大田区住宅,住宅地域,450000,562500,2024
東京都,大田区,大田区工業,工業地域,280000,350000,2024
東京都,江東区,豊洲・有明,近隣商業地域,680000,850000,2024
東京都,江東区,亀戸・錦糸町,近隣商業地域,580000,725000,2024
東京都,江東区,江東区住宅,住宅地域,420000,525000,2024
東京都,墨田区,押上・錦糸町,近隣商業地域,520000,650000,2024
東京都,墨田区,墨田区住宅,住宅地域,380000,475000,2024
東京都,北区,赤羽駅周辺,近隣商業地域,560000,700000,2024
東京都,北区,北区住宅,住宅地域,360000,450000,2024
東京都,荒川区,荒川区住宅,住宅地域,310000,387500,2024
東京都,板橋区,成増・志村坂上,近隣商業地域,420000,525000,2024
東京都,板橋区,板橋区住宅,住宅地域,340000,425000,2024
東京都,練馬区,練馬・光が丘,近隣商業地域,450000,562500,2024
東京都,練馬区,練馬区住宅,住宅地域,380000,475000,2024
東京都,足立区,北千住駅周辺,近隣商業地域,420000,525000,2024
東京都,足立区,足立区住宅,住宅地域,290000,362500,2024
東京都,葛飾区,葛飾区住宅,住宅地域,270000,337500,2024
東京都,三鷹市,三鷹駅周辺,近隣商業地域,580000,725000,2024
東京都,三鷹市,三鷹市内,住宅地域,380000,475000,2024
東京都,武蔵野市,吉祥寺駅周辺,商業地域,1200000,1500000,2024
東京都,武蔵野市,武蔵野市内,住宅地域,520000,650000,2024
東京都,立川市,立川駅周辺,商業地域,680000,850000,2024
東京都,立川市,立川市内,住宅地域,280000,350000,2024
東京都,八王子市,八王子駅周辺,商業地域,280000,350000,2024
東京都,八王子市,八王子市内,住宅地域,180000,225000,2024
東京都,町田市,町田駅周辺,商業地域,350000,437500,2024
東京都,町田市,町田市内,住宅地域,200000,250000,2024
神奈川県,横浜市西区,横浜駅周辺,商業地域,2800000,3500000,2024
神奈川県,横浜市西区,みなとみらい,商業地域,1800000,2250000,2024
神奈川県,横浜市中区,元町・中華街,近隣商業地域,980000,1225000,2024
神奈川県,横浜市中区,横浜市中区住宅,住宅地域,420000,525000,2024
神奈川県,横浜市神奈川区,横浜市神奈川区住宅,住宅地域,320000,400000,2024
神奈川県,横浜市港北区,新横浜・綱島,近隣商業地域,480000,600000,2024
神奈川県,横浜市港北区,横浜市港北区住宅,住宅地域,350000,437500,2024
神奈川県,川崎市川崎区,川崎駅周辺,商業地域,680000,850000,2024
神奈川県,川崎市川崎区,川崎市川崎区工業,工業地域,280000,350000,2024
神奈川県,川崎市中原区,武蔵小杉,近隣商業地域,950000,1187500,2024
