area,asset_type,avg_rent_per_sqm,vacancy_rate,trend
東京都千代田区,マンション,4800,0.02,up
東京都千代田区,オフィス,22000,0.02,stable
東京都中央区,マンション,4000,0.02,up
東京都中央区,商業,12000,0.03,up
東京都港区,マンション,5500,0.015,up
東京都港区,商業,18000,0.025,up
東京都新宿区,マンション,3500,0.03,up
東京都新宿区,商業,10000,0.03,stable
東京都文京区,マンション,3200,0.025,stable
東京都台東区,マンション,2700,0.035,stable
東京都台東区,商業,7000,0.04,stable
東京都墨田区,マンション,2400,0.04,stable
東京都江東区,マンション,2800,0.035,stable
東京都品川区,マンション,3300,0.03,up
東京都目黒区,マンション,3700,0.025,up
東京都大田区,マンション,2700,0.04,stable
東京都世田谷区,マンション,3000,0.03,stable
東京都渋谷区,マンション,4000,0.02,up
東京都渋谷区,商業,14000,0.025,up
東京都中野区,マンション,2700,0.035,stable
東京都杉並区,マンション,2700,0.035,stable
東京都豊島区,マンション,2800,0.03,stable
東京都北区,マンション,2200,0.04,stable
東京都荒川区,マンション,2100,0.045,stable
東京都板橋区,マンション,2200,0.04,stable
東京都練馬区,マンション,2300,0.04,stable
東京都足立区,マンション,2000,0.05,stable
東京都葛飾区,マンション,1900,0.055,stable
東京都江戸川区,マンション,2000,0.05,stable
神奈川県横浜市,マンション,2300,0.04,stable
神奈川県横浜市中区,マンション,2700,0.035,up
神奈川県横浜市西区,マンション,2900,0.03,up
神奈川県横浜市神奈川区,マンション,2300,0.04,stable
神奈川県横浜市港北区,マンション,2600,0.035,up
神奈川県横浜市都筑区,マンション,2400,0.035,stable
神奈川県横浜市青葉区,マンション,2500,0.035,stable
神奈川県横浜市緑区,マンション,2100,0.04,stable
神奈川県横浜市保土ケ谷区,マンション,2000,0.045,stable
神奈川県横浜市磯子区,マンション,1900,0.05,stable
神奈川県横浜市金沢区,マンション,2000,0.045,stable
神奈川県横浜市旭区,マンション,1900,0.05,stable
神奈川県横浜市泉区,マンション,1800,0.05,stable
神奈川県川崎市,マンション,2500,0.035,up
神奈川県川崎市川崎区,マンション,2200,0.04,stable
神奈川県川崎市中原区,マンション,2700,0.03,up
神奈川県川崎市高津区,マンション,2500,0.035,up
神奈川県川崎市宮前区,マンション,2400,0.035,stable
神奈川県川崎市多摩区,マンション,2200,0.04,stable
神奈川県川崎市麻生区,マンション,2100,0.04,stable
神奈川県藤沢市,マンション,2000,0.045,stable
神奈川県鎌倉市,マンション,2300,0.04,stable
神奈川県相模原市,マンション,1700,0.05,stable
神奈川県厚木市,マンション,1600,0.055,stable
神奈川県大和市,マンション,1800,0.05,stable
神奈川県横須賀市,マンション,1500,0.06,stable
神奈川県平塚市,マンション,1500,0.06,stable
埼玉県さいたま市,マンション,1900,0.045,stable
埼玉県さいたま市大宮区,マンション,2100,0.04,up
埼玉県さいたま市浦和区,マンション,2100,0.04,up
